Q8TDC0-1,Q96PN8
Q96KR6,Q9BXK5-1
O76013-2,P35908
Q6PK81-1,Q8WV44-1
P54253-1,P86481
Q15849-1,Q5BJF2
O14817,Q3V5L5-5
Q13520,Q96SQ5-1
Q8IX15-1,Q9Y3B7-1
Q13114-1,Q13546-1
O15552,P56851
Q8N2N9-4,Q8N2N9-4
Q8IUC1,Q9BYQ0
Q8TAZ6-1,Q9NPL8
P50222,Q9Y6A1-2
Q12805-1,Q9NYG5-2
P14859-1,P55197-2
Q9GZR5,Q9H2F3-1
Q13526,Q8NBZ0-1
Q5SR56-1,Q96AG3-1
Q99946-2,Q99946-2
P31947-1,Q86Z20-1
Q02548-1,Q2WGJ6
Q5VSY0-1,Q969R5-1
Q8NFJ6,Q8TBE3
Q02930-4,Q96PM5-1
Q8NAV1-1,Q9H190-1
Q86VK4-3,Q86WH2-1
Q8TF47-1,Q96EH3
Q96EG3,Q9Y3S2
C9J9W2,Q03989-5
Q6UX27-3,Q8NBJ4-1
P62140,Q9H788-1
Q7L5A8-1,Q8TED1
P25791-1,P52272-1
P26715-1,Q9UHP7-2
Q6ZNG0-1,Q92569-1
O14777,Q13625-2
Q15323,Q6NYC8-1
Q7Z4F1-1,Q9BQ51-1
O14880,P43003-1
B5MCD3,Q9NPB3-1
P40426-5,Q8N8V2
Q02297-10,Q969K7-1
P29084,Q9NRD5-1
P48378-1,Q8NI38-1
Q12982-1,Q96Q45-2
Q96Q45-2,Q9HCK4-1
P13807-1,Q9H079
O95273-1,Q9BS34
Q6NT76-1,Q9NX38
O14639-4,O75031-1
Q99873-4,Q9NR22-2
O75971-2,O94818-2
Q9HAC8,Q9HCM9-2
Q7Z417-1,Q9BYQ0
Q13520,Q5JRM2
Q8TBB1-1,Q9H9H4
P14373-1,Q13526
P40199,Q96HA1-2
O76011,Q8IXL7-2
O76011,Q7Z3C6-3
Q8WW24,Q9P0T4
P62993-1,Q9BYN7-1
Q6DKK2,Q8N1D0-2
Q86TV6-1,Q9BYI3-1
O14523-2,P31937
Q08722-3,Q9H2K0
Q8NBJ4-1,Q9Y5U4
A0A0J9YW04,Q96D15
Q3B820-1,Q86X02
Q15311,Q8IYE1
P60022,Q12797-6
Q15836,Q5T7V8-2
Q53FV1,Q9NY72
Q53G59-1,Q96T60-1
Q13077-1,Q7L591-3
P25791-1,Q14119
Q13227-1,Q15323
H7C0E9,Q3SY46
O75031-1,Q8IYF1
P60370,Q12837-1
Q13155,Q9BXU0
P29400-2,Q5TGU0-1
P0C7H8,Q5T5A8
P24593,Q96A25-1
O15393-1,Q5BVD1-1
P08631-2,Q9UJV3-2
O43482,Q96MY7-2
Q6P1L6-1,Q96N21-1
Q9BRQ3-1,Q9H0C1
O94868-3,Q8N6Y0-1
Q6UX34,Q8N661
Q6NUQ1,Q9H788-1
Q86Y78-1,Q9UHA2
Q8TF63,Q9BYR6
O95159,Q9H400-1
O75093-1,Q07627
P63208-1,Q4G163
P60520,Q9H4L5-1
Q7Z5P4-1,Q8NBD8
Q8IYM1-1,Q99719-1
Q8IZV5,Q9BW61
P11474-1,P48788-1
Q86Y82,Q9NPL8
P12524-2,P54646
P34981,Q0D2K0-1
