ENSP00000362562,ENSP00000362813
ENSP00000258200,ENSP00000349465
ENSP00000334696,ENSP00000452307
ENSP00000342848,ENSP00000391897
ENSP00000251973,ENSP00000256261
ENSP00000313881,ENSP00000376943
ENSP00000251900,ENSP00000348113
ENSP00000285667,ENSP00000365576
ENSP00000376154,ENSP00000413049
ENSP00000219368,ENSP00000225873
ENSP00000309953,ENSP00000463151
ENSP00000219169,ENSP00000254072
ENSP00000221978,ENSP00000278865
ENSP00000340257,ENSP00000354453
ENSP00000307765,ENSP00000320709
ENSP00000250360,ENSP00000332389
ENSP00000282570,ENSP00000476781
ENSP00000335006,ENSP00000343785
ENSP00000349022,ENSP00000358677
ENSP00000302120,ENSP00000349321
ENSP00000300258,ENSP00000378414
ENSP00000223127,ENSP00000240123
ENSP00000335565,ENSP00000391897
ENSP00000355124,ENSP00000448220
ENSP00000256433,ENSP00000371985
ENSP00000367868,ENSP00000416627
ENSP00000336887,ENSP00000356864
ENSP00000299626,ENSP00000376141
ENSP00000221561,ENSP00000362003
ENSP00000298573,ENSP00000363291
ENSP00000260327,ENSP00000363387
ENSP00000319831,ENSP00000414237
ENSP00000205636,ENSP00000227665
ENSP00000290438,ENSP00000391713
ENSP00000261037,ENSP00000458316
ENSP00000379175,ENSP00000479393
ENSP00000379592,ENSP00000431443
ENSP00000318196,ENSP00000369361
ENSP00000360379,ENSP00000366225
ENSP00000335006,ENSP00000475270
ENSP00000333994,ENSP00000349270
ENSP00000298681,ENSP00000387332
ENSP00000287387,ENSP00000479647
ENSP00000335605,ENSP00000356736
ENSP00000267115,ENSP00000423822
ENSP00000333300,ENSP00000361617
ENSP00000252713,ENSP00000289359
ENSP00000305449,ENSP00000327801
ENSP00000305373,ENSP00000344420
ENSP00000205636,ENSP00000253362
ENSP00000357901,ENSP00000480279
ENSP00000300213,ENSP00000405699
ENSP00000362578,ENSP00000378982
ENSP00000365042,ENSP00000424261
ENSP00000309818,ENSP00000328777
ENSP00000285679,ENSP00000413976
ENSP00000215742,ENSP00000429344
ENSP00000272139,ENSP00000412215
ENSP00000369415,ENSP00000393442
ENSP00000345479,ENSP00000405111
ENSP00000253925,ENSP00000353176
ENSP00000326813,ENSP00000337853
ENSP00000288065,ENSP00000453785
ENSP00000286349,ENSP00000386482
ENSP00000393442,ENSP00000481078
ENSP00000370128,ENSP00000482732
ENSP00000340969,ENSP00000410925
ENSP00000263925,ENSP00000432130
ENSP00000252597,ENSP00000391869
ENSP00000272427,ENSP00000484855
ENSP00000312856,ENSP00000370186
ENSP00000305975,ENSP00000402815
ENSP00000286349,ENSP00000311290
ENSP00000309052,ENSP00000335565
ENSP00000286349,ENSP00000473001
ENSP00000254977,ENSP00000384361
ENSP00000261017,ENSP00000474529
ENSP00000341282,ENSP00000361762
ENSP00000216420,ENSP00000219789
ENSP00000240123,ENSP00000320924
ENSP00000334866,ENSP00000375232
ENSP00000305647,ENSP00000423822
ENSP00000247970,ENSP00000310255
ENSP00000375237,ENSP00000467182
ENSP00000322238,ENSP00000462481
ENSP00000335565,ENSP00000476821
ENSP00000375853,ENSP00000386280
ENSP00000417931,ENSP00000450461
ENSP00000222812,ENSP00000415779
ENSP00000257663,ENSP00000417052
ENSP00000310406,ENSP00000366404
ENSP00000322885,ENSP00000391897
ENSP00000262741,ENSP00000331532
ENSP00000322036,ENSP00000357302
ENSP00000262507,ENSP00000265052
ENSP00000262041,ENSP00000349465
ENSP00000156109,ENSP00000256593
ENSP00000304593,ENSP00000343819
ENSP00000361392,ENSP00000377570
ENSP00000008391,ENSP00000221561
ENSP00000334188,ENSP00000386579
ENSP00000258403,ENSP00000354028
ENSP00000264731,ENSP00000345358
ENSP00000053867,ENSP00000386453
ENSP00000361646,ENSP00000369907
ENSP00000221200,ENSP00000332208
ENSP00000261600,ENSP00000469441
ENSP00000261600,ENSP00000332602
ENSP00000318154,ENSP00000408880
ENSP00000272139,ENSP00000406036
ENSP00000290438,ENSP00000323065
ENSP00000339428,ENSP00000386928
ENSP00000245543,ENSP00000252797
ENSP00000293261,ENSP00000379282
ENSP00000251973,ENSP00000315379
ENSP00000356230,ENSP00000426173
ENSP00000349076,ENSP00000361602
ENSP00000338770,ENSP00000476821
ENSP00000350885,ENSP00000362109
ENSP00000292254,ENSP00000334985
ENSP00000234453,ENSP00000234453
ENSP00000355372,ENSP00000393907
ENSP00000297130,ENSP00000362634
ENSP00000318883,ENSP00000360437
ENSP00000310861,ENSP00000377555
ENSP00000282292,ENSP00000320869
ENSP00000244769,ENSP00000367163
ENSP00000226230,ENSP00000255226
ENSP00000301618,ENSP00000380552
ENSP00000320247,ENSP00000345479
ENSP00000308897,ENSP00000350049
ENSP00000259808,ENSP00000376500
ENSP00000314810,ENSP00000473159
ENSP00000482644,ENSP00000482644
ENSP00000254072,ENSP00000330720
ENSP00000268595,ENSP00000418803
ENSP00000262041,ENSP00000385797
ENSP00000347596,ENSP00000349957
ENSP00000366295,ENSP00000441285
ENSP00000297679,ENSP00000358831
ENSP00000247970,ENSP00000457016
ENSP00000348211,ENSP00000364493
ENSP00000364292,ENSP00000364292
ENSP00000340989,ENSP00000379754
ENSP00000321475,ENSP00000350844
ENSP00000216237,ENSP00000365550
ENSP00000217270,ENSP00000310594
ENSP00000321239,ENSP00000379592
ENSP00000257181,ENSP00000342935
ENSP00000323293,ENSP00000443021
ENSP00000419370,ENSP00000454418
ENSP00000262990,ENSP00000405699
ENSP00000391897,ENSP00000400785
ENSP00000373363,ENSP00000401926
ENSP00000296122,ENSP00000428684
ENSP00000219368,ENSP00000423822
ENSP00000325376,ENSP00000379175
ENSP00000352064,ENSP00000441653
ENSP00000262741,ENSP00000322265
ENSP00000261597,ENSP00000375750
ENSP00000251645,ENSP00000274853
ENSP00000352601,ENSP00000380855
ENSP00000265113,ENSP00000356864
ENSP00000294288,ENSP00000385132
ENSP00000294671,ENSP00000387456
ENSP00000362562,ENSP00000433289
ENSP00000348168,ENSP00000349465
ENSP00000306335,ENSP00000380109
ENSP00000387203,ENSP00000475320
ENSP00000387203,ENSP00000417164
ENSP00000256544,ENSP00000317904
ENSP00000300213,ENSP00000355459
ENSP00000287701,ENSP00000363753
ENSP00000291560,ENSP00000358257
ENSP00000375724,ENSP00000414507
ENSP00000308439,ENSP00000465450
ENSP00000359698,ENSP00000365847
ENSP00000225388,ENSP00000254072
ENSP00000320247,ENSP00000359571
ENSP00000263925,ENSP00000267202
ENSP00000247970,ENSP00000366404
ENSP00000199764,ENSP00000351124
ENSP00000312274,ENSP00000377570
ENSP00000387975,ENSP00000476265
ENSP00000377570,ENSP00000386482
ENSP00000270451,ENSP00000295201
ENSP00000339007,ENSP00000364346
ENSP00000261647,ENSP00000488024
ENSP00000336127,ENSP00000403396
ENSP00000265395,ENSP00000338885
ENSP00000347512,ENSP00000370512
ENSP00000245787,ENSP00000373363
ENSP00000270645,ENSP00000487752
ENSP00000336587,ENSP00000385893
ENSP00000019317,ENSP00000309836
ENSP00000297439,ENSP00000429286
ENSP00000054666,ENSP00000356736
ENSP00000243045,ENSP00000376523
ENSP00000323511,ENSP00000356230
ENSP00000325174,ENSP00000362994
ENSP00000379175,ENSP00000462337
ENSP00000251645,ENSP00000370104
ENSP00000375109,ENSP00000394676
ENSP00000291560,ENSP00000331302
ENSP00000281321,ENSP00000383223
ENSP00000252245,ENSP00000476265
ENSP00000223029,ENSP00000280358
ENSP00000331902,ENSP00000362255
ENSP00000334644,ENSP00000375237
ENSP00000233813,ENSP00000466820
ENSP00000264848,ENSP00000330330
ENSP00000413976,ENSP00000429848
ENSP00000220514,ENSP00000286544
ENSP00000278772,ENSP00000300714
ENSP00000279206,ENSP00000361646
ENSP00000252597,ENSP00000386314
ENSP00000321038,ENSP00000386804
ENSP00000257700,ENSP00000428684
ENSP00000011691,ENSP00000334463
ENSP00000375428,ENSP00000421871
ENSP00000294258,ENSP00000309521
ENSP00000266058,ENSP00000305975
ENSP00000231487,ENSP00000403293
ENSP00000037243,ENSP00000315410
ENSP00000333300,ENSP00000451774
ENSP00000268231,ENSP00000391311
ENSP00000240285,ENSP00000352928
ENSP00000000442,ENSP00000371336
ENSP00000363054,ENSP00000418803
ENSP00000360290,ENSP00000361902
ENSP00000309818,ENSP00000311687
ENSP00000345479,ENSP00000405699
ENSP00000216540,ENSP00000404991
ENSP00000257663,ENSP00000268122
ENSP00000308606,ENSP00000370395
ENSP00000361465,ENSP00000482500
ENSP00000310880,ENSP00000354900
ENSP00000355353,ENSP00000423822
ENSP00000251645,ENSP00000380311
ENSP00000324404,ENSP00000369415
ENSP00000362063,ENSP00000443168
ENSP00000423822,ENSP00000492751
ENSP00000360821,ENSP00000443053
ENSP00000262041,ENSP00000311740
ENSP00000334560,ENSP00000352551
ENSP00000291560,ENSP00000384092
ENSP00000368858,ENSP00000382707
ENSP00000309052,ENSP00000366950
ENSP00000008391,ENSP00000351507
ENSP00000332973,ENSP00000366534
ENSP00000297130,ENSP00000363858
ENSP00000362465,ENSP00000451962
ENSP00000316114,ENSP00000355124
ENSP00000305647,ENSP00000316940
ENSP00000313881,ENSP00000343246
ENSP00000350049,ENSP00000362948
ENSP00000354861,ENSP00000383226
ENSP00000230321,ENSP00000270451
ENSP00000265052,ENSP00000278422
ENSP00000362760,ENSP00000366902
ENSP00000278865,ENSP00000367428
ENSP00000275461,ENSP00000389714
ENSP00000156825,ENSP00000344690
ENSP00000291560,ENSP00000362090
ENSP00000345358,ENSP00000375237
ENSP00000308606,ENSP00000309052
ENSP00000221200,ENSP00000452738
ENSP00000290231,ENSP00000349465
ENSP00000356230,ENSP00000358863
ENSP00000256433,ENSP00000321038
ENSP00000345404,ENSP00000369974
ENSP00000343557,ENSP00000343557
ENSP00000265732,ENSP00000361465
ENSP00000265334,ENSP00000352123
ENSP00000470560,ENSP00000470560
ENSP00000243878,ENSP00000348632
ENSP00000274054,ENSP00000334560
ENSP00000311319,ENSP00000342576
ENSP00000431800,ENSP00000431800
ENSP00000255784,ENSP00000392598
ENSP00000370512,ENSP00000479168
ENSP00000369232,ENSP00000375482
ENSP00000254810,ENSP00000266000
ENSP00000266000,ENSP00000355778
ENSP00000319305,ENSP00000454659
ENSP00000322545,ENSP00000383219
ENSP00000260130,ENSP00000348515
ENSP00000363596,ENSP00000383594
ENSP00000230321,ENSP00000376517
ENSP00000262041,ENSP00000361834
ENSP00000256544,ENSP00000320869
ENSP00000329448,ENSP00000356906
ENSP00000225688,ENSP00000452414
ENSP00000320247,ENSP00000351473
ENSP00000241001,ENSP00000334564
ENSP00000311319,ENSP00000368249
ENSP00000296449,ENSP00000413976
ENSP00000363064,ENSP00000381500
ENSP00000381005,ENSP00000393099
ENSP00000264848,ENSP00000380648
ENSP00000423021,ENSP00000489859
ENSP00000263095,ENSP00000305617
ENSP00000219789,ENSP00000301258
ENSP00000299295,ENSP00000380435
ENSP00000254072,ENSP00000383223
ENSP00000302160,ENSP00000310596
ENSP00000287497,ENSP00000322280
ENSP00000340982,ENSP00000477310
ENSP00000362763,ENSP00000393442
ENSP00000221561,ENSP00000377129
ENSP00000261653,ENSP00000327716
ENSP00000282058,ENSP00000373669
ENSP00000428876,ENSP00000479405
ENSP00000348554,ENSP00000363322
ENSP00000332805,ENSP00000354193
ENSP00000262041,ENSP00000285402
ENSP00000344544,ENSP00000363064
ENSP00000200457,ENSP00000270066
ENSP00000252713,ENSP00000365442
ENSP00000295379,ENSP00000378409
ENSP00000291552,ENSP00000366030
ENSP00000332389,ENSP00000370512
ENSP00000354929,ENSP00000412237
ENSP00000270066,ENSP00000380109
ENSP00000263925,ENSP00000319169
ENSP00000260318,ENSP00000349465
ENSP00000297873,ENSP00000365060
ENSP00000260130,ENSP00000379704
ENSP00000293778,ENSP00000368701
ENSP00000340427,ENSP00000354764
ENSP00000222812,ENSP00000333776
ENSP00000287387,ENSP00000452738
ENSP00000226230,ENSP00000296597
ENSP00000284637,ENSP00000289473
ENSP00000251645,ENSP00000377582
ENSP00000261187,ENSP00000346223
ENSP00000166345,ENSP00000365943
ENSP00000367868,ENSP00000411099
ENSP00000254286,ENSP00000416968
ENSP00000354125,ENSP00000379175
ENSP00000368477,ENSP00000449500
ENSP00000298110,ENSP00000315303
ENSP00000261479,ENSP00000264639
ENSP00000252244,ENSP00000305503
ENSP00000276602,ENSP00000296315
ENSP00000222008,ENSP00000364235
ENSP00000302620,ENSP00000375430
ENSP00000310255,ENSP00000427607
ENSP00000222005,ENSP00000319169
ENSP00000330838,ENSP00000370391
ENSP00000343785,ENSP00000431443
ENSP00000275560,ENSP00000375428
ENSP00000457076,ENSP00000483872
ENSP00000361933,ENSP00000386453
ENSP00000368390,ENSP00000482312
ENSP00000234160,ENSP00000318868
ENSP00000258807,ENSP00000387456
ENSP00000221566,ENSP00000356218
ENSP00000295108,ENSP00000331057
ENSP00000309432,ENSP00000387203
ENSP00000359989,ENSP00000359989
ENSP00000302978,ENSP00000394676
ENSP00000332389,ENSP00000357377
ENSP00000221462,ENSP00000300069
ENSP00000241001,ENSP00000270225
ENSP00000300145,ENSP00000383226
ENSP00000246229,ENSP00000405111
ENSP00000272133,ENSP00000286713
ENSP00000290438,ENSP00000394560
ENSP00000210313,ENSP00000255608
ENSP00000369974,ENSP00000431443
ENSP00000333952,ENSP00000375476
ENSP00000245787,ENSP00000356251
ENSP00000332900,ENSP00000351473
